# r = 10.000000
1.047198e+00	5.563106e+09	1.396263e+00
1.047198e+00	6.258494e+09	1.570796e+00
1.047198e+00	6.953882e+09	1.745329e+00
1.047198e+00	7.649271e+09	1.919862e+00
1.047198e+00	8.344659e+09	2.094395e+00
1.047198e+00	9.040047e+09	2.268928e+00
1.047198e+00	9.735435e+09	2.443461e+00
1.047198e+00	1.043082e+10	2.617994e+00
1.047198e+00	1.112621e+10	2.792527e+00
1.047198e+00	1.182160e+10	2.967060e+00
1.221730e+00	0.000000e+00	0.000000e+00
1.221730e+00	6.953882e+08	1.745329e-01
1.221730e+00	1.390776e+09	3.490659e-01
1.221730e+00	2.086165e+09	5.235988e-01
1.221730e+00	2.781553e+09	6.981317e-01
1.221730e+00	3.476941e+09	8.726646e-01
1.221730e+00	4.172329e+09	1.047198e+00
1.221730e+00	4.867718e+09	1.221730e+00
1.221730e+00	5.563106e+09	1.396263e+00
1.221730e+00	6.258494e+09	1.570796e+00
1.221730e+00	6.953882e+09	1.745329e+00
1.221730e+00	7.649271e+09	1.919862e+00
1.221730e+00	8.344659e+09	2.094395e+00
1.221730e+00	9.040047e+09	2.268928e+00
1.221730e+00	9.735435e+09	2.443461e+00
1.221730e+00	1.043082e+10	2.617994e+00
1.221730e+00	1.112621e+10	2.792527e+00
1.221730e+00	1.182160e+10	2.967060e+00
1.396263e+00	0.000000e+00	0.000000e+00
1.396263e+00	6.953882e+08	1.745329e-01
1.396263e+00	1.390776e+09	3.490659e-01
1.396263e+00	2.086165e+09	5.235988e-01
1.396263e+00	2.781553e+09	6.981317e-01
1.396263e+00	3.476941e+09	8.726646e-01
1.396263e+00	4.172329e+09	1.047198e+00
1.396263e+00	4.867718e+09	1.221730e+00
1.396263e+00	5.563106e+09	1.396263e+00
1.396263e+00	6.258494e+09	1.570796e+00
1.396263e+00	6.953882e+09	1.745329e+00
1.396263e+00	7.649271e+09	1.919862e+00
1.396263e+00	8.344659e+09	2.094395e+00
1.396263e+00	9.040047e+09	2.268928e+00
1.396263e+00	9.735435e+09	2.443461e+00
1.396263e+00	1.043082e+10	2.617994e+00
1.396263e+00	1.112621e+10	2.792527e+00
1.396263e+00	1.182160e+10	2.967060e+00
1.570796e+00	0.000000e+00	0.000000e+00
1.570796e+00	6.953882e+08	1.745329e-01
1.570796e+00	1.390776e+09	3.490659e-01
1.570796e+00	2.086165e+09	5.235988e-01
1.570796e+00	2.781553e+09	6.981317e-01
1.570796e+00	3.476941e+09	8.726646e-01
1.570796e+00	4.172329e+09	1.047198e+00
1.570796e+00	4.867718e+09	1.221730e+00
1.570796e+00	5.563106e+09	1.396263e+00
1.570796e+00	6.258494e+09	1.570796e+00
1.570796e+00	6.953882e+09	1.745329e+00
1.570796e+00	7.649271e+09	1.919862e+00
1.570796e+00	8.344659e+09	2.094395e+00
1.570796e+00	9.040047e+09	2.268928e+00
1.570796e+00	9.735435e+09	2.443461e+00
1.570796e+00	1.043082e+10	2.617994e+00
1.570796e+00	1.112621e+10	2.792527e+00
1.570796e+00	1.182160e+10	2.967060e+00
1.745329e+00	0.000000e+00	0.000000e+00
1.745329e+00	6.953882e+08	1.745329e-01
1.745329e+00	1.390776e+09	3.490659e-01
1.745329e+00	2.086165e+09	5.235988e-01
1.745329e+00	2.781553e+09	6.981317e-01
1.745329e+00	3.476941e+09	8.726646e-01
1.745329e+00	4.172329e+09	1.047198e+00
1.745329e+00	4.867718e+09	1.221730e+00
1.745329e+00	5.563106e+09	1.396263e+00
1.745329e+00	6.258494e+09	1.570796e+00
1.745329e+00	6.953882e+09	1.745329e+00
1.745329e+00	7.649271e+09	1.919862e+00
1.745329e+00	8.344659e+09	2.094395e+00
1.745329e+00	9.040047e+09	2.268928e+00
1.745329e+00	9.735435e+09	2.443461e+00
1.745329e+00	1.043082e+10	2.617994e+00
1.745329e+00	1.112621e+10	2.792527e+00
1.745329e+00	1.182160e+10	2.967060e+00
1.919862e+00	0.000000e+00	0.000000e+00
1.919862e+00	6.953882e+08	1.745329e-01
1.919862e+00	1.390776e+09	3.490659e-01
1.919862e+00	2.086165e+09	5.235988e-01
1.919862e+00	2.781553e+09	6.981317e-01
1.919862e+00	3.476941e+09	8.726646e-01
1.919862e+00	4.172329e+09	1.047198e+00
1.919862e+00	4.867718e+09	1.221730e+00
1.919862e+00	5.563106e+09	1.396263e+00
1.919862e+00	6.258494e+09	1.570796e+00
1.919862e+00	6.953882e+09	1.745329e+00
1.919862e+00	7.649271e+09	1.919862e+00
1.919862e+00	8.344659e+09	2.094395e+00
1.919862e+00	9.040047e+09	2.268928e+00
1.919862e+00	9.735435e+09	2.443461e+00
1.919862e+00	1.043082e+10	2.617994e+00
1.919862e+00	1.112621e+10	2.792527e+00
1.919862e+00	1.182160e+10	2.967060e+00
2.094395e+00	0.000000e+00	0.000000e+00
2.094395e+00	6.953882e+08	1.745329e-01
2.094395e+00	1.390776e+09	3.490659e-01
2.094395e+00	2.086165e+09	5.235988e-01
2.094395e+00	2.781553e+09	6.981317e-01
2.094395e+00	3.476941e+09	8.726646e-01
2.094395e+00	4.172329e+09	1.047198e+00
2.094395e+00	4.867718e+09	1.221730e+00
2.094395e+00	5.563106e+09	1.396263e+00
2.094395e+00	6.258494e+09	1.570796e+00
2.094395e+00	6.953882e+09	1.745329e+00
2.094395e+00	7.649271e+09	1.919862e+00
2.094395e+00	8.344659e+09	2.094395e+00
2.094395e+00	9.040047e+09	2.268928e+00
2.094395e+00	9.735435e+09	2.443461e+00
2.094395e+00	1.043082e+10	2.617994e+00
2.094395e+00	1.112621e+10	2.792527e+00
2.094395e+00	1.182160e+10	2.967060e+00
2.268928e+00	0.000000e+00	0.000000e+00
2.268928e+00	6.953882e+08	1.745329e-01
2.268928e+00	1.390776e+09	3.490659e-01
2.268928e+00	2.086165e+09	5.235988e-01
2.268928e+00	2.781553e+09	6.981317e-01
2.268928e+00	3.476941e+09	8.726646e-01
2.268928e+00	4.172329e+09	1.047198e+00
2.268928e+00	4.867718e+09	1.221730e+00
2.268928e+00	5.563106e+09	1.396263e+00
2.268928e+00	6.258494e+09	1.570796e+00
2.268928e+00	6.953882e+09	1.745329e+00
2.268928e+00	7.649271e+09	1.919862e+00
2.268928e+00	8.344659e+09	2.094395e+00
2.268928e+00	9.040047e+09	2.268928e+00
2.268928e+00	9.735435e+09	2.443461e+00
2.268928e+00	1.043082e+10	2.617994e+00
2.268928e+00	1.112621e+10	2.792527e+00
2.268928e+00	1.182160e+10	2.967060e+00
2.443461e+00	0.000000e+00	0.000000e+00
2.443461e+00	6.953882e+08	1.745329e-01
2.443461e+00	1.390776e+09	3.490659e-01
2.443461e+00	2.086165e+09	5.235988e-01
2.443461e+00	2.781553e+09	6.981317e-01
2.443461e+00	3.476941e+09	8.726646e-01
2.443461e+00	4.172329e+09	1.047198e+00
2.443461e+00	4.867718e+09	1.221730e+00
2.443461e+00	5.563106e+09	1.396263e+00
2.443461e+00	6.258494e+09	1.570796e+00
2.443461e+00	6.953882e+09	1.745329e+00
2.443461e+00	7.649271e+09	1.919862e+00
2.443461e+00	8.344659e+09	2.094395e+00
2.443461e+00	9.040047e+09	2.268928e+00
2.443461e+00	9.735435e+09	2.443461e+00
2.443461e+00	1.043082e+10	2.617994e+00
2.443461e+00	1.112621e+10	2.792527e+00
2.443461e+00	1.182160e+10	2.967060e+00
2.617994e+00	0.000000e+00	0.000000e+00
2.617994e+00	6.953882e+08	1.745329e-01
2.617994e+00	1.390776e+09	3.490659e-01
2.617994e+00	2.086165e+09	5.235988e-01
2.617994e+00	2.781553e+09	6.981317e-01
2.617994e+00	3.476941e+09	8.726646e-01
2.617994e+00	4.172329e+09	1.047198e+00
2.617994e+00	4.867718e+09	1.221730e+00
2.617994e+00	5.563106e+09	1.396263e+00
2.617994e+00	6.258494e+09	1.570796e+00
2.617994e+00	6.953882e+09	1.745329e+00
2.617994e+00	7.649271e+09	1.919862e+00
2.617994e+00	8.344659e+09	2.094395e+00
2.617994e+00	9.040047e+09	2.268928e+00
2.617994e+00	9.735435e+09	2.443461e+00
2.617994e+00	1.043082e+10	2.617994e+00
2.617994e+00	1.112621e+10	2.792527e+00
2.617994e+00	1.182160e+10	2.967060e+00
2.792527e+00	0.000000e+00	0.000000e+00
2.792527e+00	6.953882e+08	1.745329e-01
2.792527e+00	1.390776e+09	3.490659e-01
2.792527e+00	2.086165e+09	5.235988e-01
2.792527e+00	2.781553e+09	6.981317e-01
2.792527e+00	3.476941e+09	8.726646e-01
2.792527e+00	4.172329e+09	1.047198e+00
2.792527e+00	4.867718e+09	1.221730e+00
2.792527e+00	5.563106e+09	1.396263e+00
2.792527e+00	6.258494e+09	1.570796e+00
2.792527e+00	6.953882e+09	1.745329e+00
2.792527e+00	7.649271e+09	1.919862e+00
2.792527e+00	8.344659e+09	2.094395e+00
2.792527e+00	9.040047e+09	2.268928e+00
2.792527e+00	9.735435e+09	2.443461e+00
2.792527e+00	1.043082e+10	2.617994e+00
2.792527e+00	1.112621e+10	2.792527e+00
2.792527e+00	1.182160e+10	2.967060e+00
2.967060e+00	0.000000e+00	0.000000e+00
2.967060e+00	6.953882e+08	1.745329e-01
2.967060e+00	1.390776e+09	3.490659e-01
2.967060e+00	2.086165e+09	5.235988e-01
2.967060e+00	2.781553e+09	6.981317e-01
2.967060e+00	3.476941e+09	8.726646e-01
2.967060e+00	4.172329e+09	1.047198e+00
2.967060e+00	4.867718e+09	1.221730e+00
2.967060e+00	5.563106e+09	1.396263e+00
2.967060e+00	6.258494e+09	1.570796e+00
2.967060e+00	6.953882e+09	1.745329e+00
2.967060e+00	7.649271e+09	1.919862e+00
2.967060e+00	8.344659e+09	2.094395e+00
2.967060e+00	9.040047e+09	2.268928e+00
2.967060e+00	9.735435e+09	2.443461e+00
2.967060e+00	1.043082e+10	2.617994e+00
2.967060e+00	1.112621e+10	2.792527e+00
2.967060e+00	1.182160e+10	2.967060e+00
3.141593e+00	0.000000e+00	0.000000e+00
3.141593e+00	6.953882e+08	1.745329e-01
3.141593e+00	1.390776e+09	3.490659e-01
3.141593e+00	2.086165e+09	5.235988e-01
3.141593e+00	2.781553e+09	6.981317e-01
3.141593e+00	3.476941e+09	8.726646e-01
3.141593e+00	4.172329e+09	1.047198e+00
3.141593e+00	4.867718e+09	1.221730e+00
3.141593e+00	5.563106e+09	1.396263e+00
3.141593e+00	6.258494e+09	1.570796e+00
3.141593e+00	6.953882e+09	1.745329e+00
3.141593e+00	7.649271e+09	1.919862e+00
3.141593e+00	8.344659e+09	2.094395e+00
3.141593e+00	9.040047e+09	2.268928e+00
3.141593e+00	9.735435e+09	2.443461e+00
3.141593e+00	1.043082e+10	2.617994e+00
3.141593e+00	1.112621e+10	2.792527e+00
3.141593e+00	1.182160e+10	2.967060e+00
3.316126e+00	0.000000e+00	0.000000e+00
3.316126e+00	6.953882e+08	1.745329e-01
3.316126e+00	1.390776e+09	3.490659e-01
3.316126e+00	2.086165e+09	5.235988e-01
3.316126e+00	2.781553e+09	6.981317e-01
3.316126e+00	3.476941e+09	8.726646e-01
3.316126e+00	4.172329e+09	1.047198e+00
3.316126e+00	4.867718e+09	1.221730e+00
3.316126e+00	5.563106e+09	1.396263e+00
3.316126e+00	6.258494e+09	1.570796e+00
3.316126e+00	6.953882e+09	1.745329e+00
3.316126e+00	7.649271e+09	1.919862e+00
3.316126e+00	8.344659e+09	2.094395e+00
3.316126e+00	9.040047e+09	2.268928e+00
3.316126e+00	9.735435e+09	2.443461e+00
3.316126e+00	1.043082e+10	2.617994e+00
3.316126e+00	1.112621e+10	2.792527e+00
3.316126e+00	1.182160e+10	2.967060e+00
3.490659e+00	0.000000e+00	0.000000e+00
3.490659e+00	6.953882e+08	1.745329e-01
3.490659e+00	1.390776e+09	3.490659e-01
3.490659e+00	2.086165e+09	5.235988e-01
3.490659e+00	2.781553e+09	6.981317e-01
3.490659e+00	3.476941e+09	8.726646e-01
3.490659e+00	4.172329e+09	1.047198e+00
3.490659e+00	4.867718e+09	1.221730e+00
3.490659e+00	5.563106e+09	1.396263e+00
3.490659e+00	6.258494e+09	1.570796e+00
3.490659e+00	6.953882e+09	1.745329e+00
3.490659e+00	7.649271e+09	1.919862e+00
3.490659e+00	8.344659e+09	2.094395e+00
3.490659e+00	9.040047e+09	2.268928e+00
3.490659e+00	9.735435e+09	2.443461e+00
3.490659e+00	1.043082e+10	2.617994e+00
3.490659e+00	1.112621e+10	2.792527e+00
3.490659e+00	1.182160e+10	2.967060e+00
3.665191e+00	0.000000e+00	0.000000e+00
3.665191e+00	6.953882e+08	1.745329e-01
3.665191e+00	1.390776e+09	3.490659e-01
3.665191e+00	2.086165e+09	5.235988e-01
3.665191e+00	2.781553e+09	6.981317e-01
3.665191e+00	3.476941e+09	8.726646e-01
3.665191e+00	4.172329e+09	1.047198e+00
3.665191e+00	4.867718e+09	1.221730e+00
3.665191e+00	5.563106e+09	1.396263e+00
3.665191e+00	6.258494e+09	1.570796e+00
3.665191e+00	6.953882e+09	1.745329e+00
3.665191e+00	7.649271e+09	1.919862e+00
3.665191e+00	8.344659e+09	2.094395e+00
3.665191e+00	9.040047e+09	2.268928e+00
3.665191e+00	9.735435e+09	2.443461e+00
3.665191e+00	1.043082e+10	2.617994e+00
3.665191e+00	1.112621e+10	2.792527e+00
3.665191e+00	1.182160e+10	2.967060e+00
3.839724e+00	0.000000e+00	0.000000e+00
3.839724e+00	6.953882e+08	1.745329e-01
3.839724e+00	1.390776e+09	3.490659e-01
3.839724e+00	2.086165e+09	5.235988e-01
3.839724e+00	2.781553e+09	6.981317e-01
3.839724e+00	3.476941e+09	8.726646e-01
3.839724e+00	4.172329e+09	1.047198e+00
3.839724e+00	4.867718e+09	1.221730e+00
3.839724e+00	5.563106e+09	1.396263e+00
3.839724e+00	6.258494e+09	1.570796e+00
3.839724e+00	6.953882e+09	1.745329e+00
3.839724e+00	7.649271e+09	1.919862e+00
3.839724e+00	8.344659e+09	2.094395e+00
3.839724e+00	9.040047e+09	2.268928e+00
3.839724e+00	9.735435e+09	2.443461e+00
3.839724e+00	1.043082e+10	2.617994e+00
3.839724e+00	1.112621e+10	2.792527e+00
3.839724e+00	1.182160e+10	2.967060e+00
4.014257e+00	0.000000e+00	0.000000e+00
4.014257e+00	6.953882e+08	1.745329e-01
4.014257e+00	1.390776e+09	3.490659e-01
4.014257e+00	2.086165e+09	5.235988e-01
4.014257e+00	2.781553e+09	6.981317e-01
4.014257e+00	3.476941e+09	8.726646e-01
4.014257e+00	4.172329e+09	1.047198e+00
4.014257e+00	4.867718e+09	1.221730e+00
4.014257e+00	5.563106e+09	1.396263e+00
4.014257e+00	6.258494e+09	1.570796e+00
4.014257e+00	6.953882e+09	1.745329e+00
4.014257e+00	7.649271e+09	1.919862e+00
4.014257e+00	8.344659e+09	2.094395e+00
4.014257e+00	9.040047e+09	2.268928e+00
4.014257e+00	9.735435e+09	2.443461e+00
4.014257e+00	1.043082e+10	2.617994e+00
4.014257e+00	1.112621e+10	2.792527e+00
4.014257e+00	1.182160e+10	2.967060e+00
4.188790e+00	0.000000e+00	0.000000e+00
4.188790e+00	6.953882e+08	1.745329e-01
4.188790e+00	1.390776e+09	3.490659e-01
4.188790e+00	2.086165e+09	5.235988e-01
4.188790e+00	2.781553e+09	6.981317e-01
4.188790e+00	3.476941e+09	8.726646e-01
4.188790e+00	4.172329e+09	1.047198e+00
4.188790e+00	4.867718e+09	1.221730e+00
4.188790e+00	5.563106e+09	1.396263e+00
4.188790e+00	6.258494e+09	1.570796e+00
4.188790e+00	6.953882e+09	1.745329e+00
4.188790e+00	7.649271e+09	1.919862e+00
4.188790e+00	8.344659e+09	2.094395e+00
4.188790e+00	9.040047e+09	2.268928e+00
4.188790e+00	9.735435e+09	2.443461e+00
4.188790e+00	1.043082e+10	2.617994e+00
4.188790e+00	1.112621e+10	2.792527e+00
4.188790e+00	1.182160e+10	2.967060e+00
4.363323e+00	0.000000e+00	0.000000e+00
4.363323e+00	6.953882e+08	1.745329e-01
4.363323e+00	1.390776e+09	3.490659e-01
4.363323e+00	2.086165e+09	5.235988e-01
4.363323e+00	2.781553e+09	6.981317e-01
4.363323e+00	3.476941e+09	8.726646e-01
4.363323e+00	4.172329e+09	1.047198e+00
4.363323e+00	4.867718e+09	1.221730e+00
4.363323e+00	5.563106e+09	1.396263e+00
4.363323e+00	6.258494e+09	1.570796e+00
4.363323e+00	6.953882e+09	1.745329e+00
4.363323e+00	7.649271e+09	1.919862e+00
4.363323e+00	8.344659e+09	2.094395e+00
4.363323e+00	9.040047e+09	2.268928e+00
4.363323e+00	9.735435e+09	2.443461e+00
4.363323e+00	1.043082e+10	2.617994e+00
4.363323e+00	1.112621e+10	2.792527e+00
4.363323e+00	1.182160e+10	2.967060e+00
4.537856e+00	0.000000e+00	0.000000e+00
4.537856e+00	6.953882e+08	1.745329e-01
4.537856e+00	1.390776e+09	3.490659e-01
4.537856e+00	2.086165e+09	5.235988e-01
4.537856e+00	2.781553e+09	6.981317e-01
4.537856e+00	3.476941e+09	8.726646e-01
4.537856e+00	4.172329e+09	1.047198e+00
4.537856e+00	4.867718e+09	1.221730e+00
4.537856e+00	5.563106e+09	1.396263e+00
4.537856e+00	6.258494e+09	1.570796e+00
4.537856e+00	6.953882e+09	1.745329e+00
4.537856e+00	7.649271e+09	1.919862e+00
4.537856e+00	8.344659e+09	2.094395e+00
4.537856e+00	9.040047e+09	2.268928e+00
4.537856e+00	9.735435e+09	2.443461e+00
4.537856e+00	1.043082e+10	2.617994e+00
4.537856e+00	1.112621e+10	2.792527e+00
4.537856e+00	1.182160e+10	2.967060e+00
4.712389e+00	0.000000e+00	0.000000e+00
4.712389e+00	6.953882e+08	1.745329e-01
4.712389e+00	1.390776e+09	3.490659e-01
4.712389e+00	2.086165e+09	5.235988e-01
4.712389e+00	2.781553e+09	6.981317e-01
4.712389e+00	3.476941e+09	8.726646e-01
4.712389e+00	4.172329e+09	1.047198e+00
4.712389e+00	4.867718e+09	1.221730e+00
4.712389e+00	5.563106e+09	1.396263e+00
4.712389e+00	6.258494e+09	1.570796e+00
4.712389e+00	6.953882e+09	1.745329e+00
4.712389e+00	7.649271e+09	1.919862e+00
4.712389e+00	8.344659e+09	2.094395e+00
4.712389e+00	9.040047e+09	2.268928e+00
4.712389e+00	9.735435e+09	2.443461e+00
4.712389e+00	1.043082e+10	2.617994e+00
4.712389e+00	1.112621e+10	2.792527e+00
4.712389e+00	1.182160e+10	2.967060e+00
4.886922e+00	0.000000e+00	0.000000e+00
4.886922e+00	6.953882e+08	1.745329e-01
4.886922e+00	1.390776e+09	3.490659e-01
4.886922e+00	2.086165e+09	5.235988e-01
4.886922e+00	2.781553e+09	6.981317e-01
4.886922e+00	3.476941e+09	8.726646e-01
4.886922e+00	4.172329e+09	1.047198e+00
4.886922e+00	4.867718e+09	1.221730e+00
4.886922e+00	5.563106e+09	1.396263e+00
4.886922e+00	6.258494e+09	1.570796e+00
4.886922e+00	6.953882e+09	1.745329e+00
4.886922e+00	7.649271e+09	1.919862e+00
4.886922e+00	8.344659e+09	2.094395e+00
4.886922e+00	9.040047e+09	2.268928e+00
4.886922e+00	9.735435e+09	2.443461e+00
4.886922e+00	1.043082e+10	2.617994e+00
4.886922e+00	1.112621e+10	2.792527e+00
4.886922e+00	1.182160e+10	2.967060e+00
5.061455e+00	0.000000e+00	0.000000e+00
5.061455e+00	6.953882e+08	1.745329e-01
5.061455e+00	1.390776e+09	3.490659e-01
5.061455e+00	2.086165e+09	5.235988e-01
5.061455e+00	2.781553e+09	6.981317e-01
5.061455e+00	3.476941e+09	8.726646e-01
5.061455e+00	4.172329e+09	1.047198e+00
5.061455e+00	4.867718e+09	1.221730e+00
5.061455e+00	5.563106e+09	1.396263e+00
5.061455e+00	6.258494e+09	1.570796e+00
5.061455e+00	6.953882e+09	1.745329e+00
5.061455e+00	7.649271e+09	1.919862e+00
5.061455e+00	8.344659e+09	2.094395e+00
5.061455e+00	9.040047e+09	2.268928e+00
5.061455e+00	9.735435e+09	2.443461e+00
5.061455e+00	1.043082e+10	2.617994e+00
5.061455e+00	1.112621e+10	2.792527e+00
5.061455e+00	1.182160e+10	2.967060e+00
5.235988e+00	0.000000e+00	0.000000e+00
5.235988e+00	6.953882e+08	1.745329e-01
5.235988e+00	1.390776e+09	3.490659e-01
5.235988e+00	2.086165e+09	5.235988e-01
5.235988e+00	2.781553e+09	6.981317e-01
5.235988e+00	3.476941e+09	8.726646e-01
5.235988e+00	4.172329e+09	1.047198e+00
5.235988e+00	4.867718e+09	1.221730e+00
5.235988e+00	5.563106e+09	1.396263e+00
5.235988e+00	6.258494e+09	1.570796e+00
5.235988e+00	6.953882e+09	1.745329e+00
5.235988e+00	7.649271e+09	1.919862e+00
5.235988e+00	8.344659e+09	2.094395e+00
5.235988e+00	9.040047e+09	2.268928e+00
5.235988e+00	9.735435e+09	2.443461e+00
5.235988e+00	1.043082e+10	2.617994e+00
5.235988e+00	1.112621e+10	2.792527e+00
5.235988e+00	1.182160e+10	2.967060e+00
5.410521e+00	0.000000e+00	0.000000e+00
5.410521e+00	6.953882e+08	1.745329e-01
5.410521e+00	1.390776e+09	3.490659e-01
5.410521e+00	2.086165e+09	5.235988e-01
5.410521e+00	2.781553e+09	6.981317e-01
5.410521e+00	3.476941e+09	8.726646e-01
5.410521e+00	4.172329e+09	1.047198e+00
5.410521e+00	4.867718e+09	1.221730e+00
5.410521e+00	5.563106e+09	1.396263e+00
5.410521e+00	6.258494e+09	1.570796e+00
5.410521e+00	6.953882e+09	1.745329e+00
5.410521e+00	7.649271e+09	1.919862e+00
5.410521e+00	8.344659e+09	2.094395e+00
5.410521e+00	9.040047e+09	2.268928e+00
5.410521e+00	9.735435e+09	2.443461e+00
5.410521e+00	1.043082e+10	2.617994e+00
5.410521e+00	1.112621e+10	2.792527e+00
5.410521e+00	1.182160e+10	2.967060e+00
5.585054e+00	0.000000e+00	0.000000e+00
5.585054e+00	6.953882e+08	1.745329e-01
5.585054e+00	1.390776e+09	3.490659e-01
5.585054e+00	2.086165e+09	5.235988e-01
5.585054e+00	2.781553e+09	6.981317e-01
5.585054e+00	3.476941e+09	8.726646e-01
